HS_code_4digit,Main_waste,HS_code_description
3825,Chemical,"Residual products of the chemical or allied industries, not elsewhere specified or included; municipal waste; sewage sludge; other wastes specified in Note 6 to this Chapter"
3915,Plastic,"Waste, parings and scrap, of plastics"
4004,Rubber,"Waste, parings and scrap of rubber (other than hard rubber) and powders and granules obtained therefrom"
4401,Wood,"Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms; wood in chips or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms"
4707,Wood,"Chemical wood pulp, sulphite, other than dissolving grades"
6310,Rug,Blankets and travelling rugs
7001,Glass,"Cullet and other waste and scrap of glass, excluding glass from cathode-ray tubes or other activated glass of heading 85.49; glass in the mass"
7204,Ferrous,Ferrous waste and scrap; remelting scrap ingots of iron or steel
7404,Copper,Unrefined copper; copper anodes for electrolytic refining
7602,Aluminium,Aluminium waste and scrap
8549,Electronic,Electrical and electronic waste and scrap
