Solid waste,Province,Unit Measure,TIME_PERIOD,OBS_VALUE
Accumulated solid waste,Chai Nat,Tonnes,2556,346092.0
Accumulated solid waste,Chai Nat,Tonnes,2557,226764.69
Accumulated solid waste,Chai Nat,Tonnes,2558,132590.41
Accumulated solid waste,Chai Nat,Tonnes,2559,20013.0
Accumulated solid waste,Chai Nat,Tonnes,2560,10438.0
Accumulated solid waste,Chai Nat,Tonnes,2561,97.5
Accumulated solid waste,Chai Nat,Tonnes,2562,158.48
Accumulated solid waste,Chai Nat,Tonnes,2563,1917.0
Accumulated solid waste,Chai Nat,Tonnes,2564,6158.0
Accumulated solid waste,Chai Nat,Tonnes,2565,10620.0
Accumulated solid waste,Prachin Buri,Tonnes,2556,556680.0
Accumulated solid waste,Prachin Buri,Tonnes,2557,552678.52
Accumulated solid waste,Prachin Buri,Tonnes,2558,318962.0
Accumulated solid waste,Prachin Buri,Tonnes,2559,216965.0
Accumulated solid waste,Prachin Buri,Tonnes,2560,116265.0
Accumulated solid waste,Prachin Buri,Tonnes,2561,105855.45
Accumulated solid waste,Prachin Buri,Tonnes,2562,187410.3
Accumulated solid waste,Prachin Buri,Tonnes,2563,203407.0
Accumulated solid waste,Prachin Buri,Tonnes,2564,199373.0
Accumulated solid waste,Prachin Buri,Tonnes,2565,222900.0
Accumulated solid waste,Sakon Nakhon,Tonnes,2556,21869.82
Accumulated solid waste,Sakon Nakhon,Tonnes,2557,24773.55
Accumulated solid waste,Sakon Nakhon,Tonnes,2558,25816.35
Accumulated solid waste,Sakon Nakhon,Tonnes,2559,4511.0
Accumulated solid waste,Sakon Nakhon,Tonnes,2560,5424.0
Accumulated solid waste,Sakon Nakhon,Tonnes,2561,4410.12
Accumulated solid waste,Sakon Nakhon,Tonnes,2562,4924.62
Accumulated solid waste,Sakon Nakhon,Tonnes,2563,4148.0
Accumulated solid waste,Sakon Nakhon,Tonnes,2564,4838.0
Accumulated solid waste,Sakon Nakhon,Tonnes,2565,4470.0
Accumulated solid waste,Phrae,Tonnes,2556,365232.33
Accumulated solid waste,Phrae,Tonnes,2557,5727.0
Accumulated solid waste,Phrae,Tonnes,2558,26384.4
Accumulated solid waste,Phrae,Tonnes,2559,23143.0
Accumulated solid waste,Phrae,Tonnes,2560,11098.0
Accumulated solid waste,Phrae,Tonnes,2561,17895.76
Accumulated solid waste,Phrae,Tonnes,2562,0.0
Accumulated solid waste,Phrae,Tonnes,2563,5340.0
Accumulated solid waste,Phrae,Tonnes,2564,9005.0
Accumulated solid waste,Phrae,Tonnes,2565,545.0
Accumulated solid waste,Prachuap Khiri Khan,Tonnes,2556,546356.48
Accumulated solid waste,Prachuap Khiri Khan,Tonnes,2557,440792.0
Accumulated solid waste,Prachuap Khiri Khan,Tonnes,2558,257445.0
Accumulated solid waste,Prachuap Khiri Khan,Tonnes,2559,285197.0
Accumulated solid waste,Prachuap Khiri Khan,Tonnes,2560,17273.0
Accumulated solid waste,Prachuap Khiri Khan,Tonnes,2561,19588.0
Accumulated solid waste,Prachuap Khiri Khan,Tonnes,2562,11152.0
Accumulated solid waste,Prachuap Khiri Khan,Tonnes,2563,4958.0
Accumulated solid waste,Prachuap Khiri Khan,Tonnes,2564,7604.0
Accumulated solid waste,Prachuap Khiri Khan,Tonnes,2565,22200.0
Accumulated solid waste,Chumphon,Tonnes,2556,235008.75
Accumulated solid waste,Chumphon,Tonnes,2557,116491.05
Accumulated solid waste,Chumphon,Tonnes,2558,122007.3
Accumulated solid waste,Chumphon,Tonnes,2559,51673.0
Accumulated solid waste,Chumphon,Tonnes,2560,27963.0
Accumulated solid waste,Chumphon,Tonnes,2561,19538.45
Accumulated solid waste,Chumphon,Tonnes,2562,20415.24
Accumulated solid waste,Chumphon,Tonnes,2563,12695.0
Accumulated solid waste,Chumphon,Tonnes,2564,61287.0
Accumulated solid waste,Chumphon,Tonnes,2565,69500.0
Recycled solid waste,Bueng Kan,Tons per day,2556,112.78
Recycled solid waste,Bueng Kan,Tons per day,2557,113.0
Recycled solid waste,Bueng Kan,Tons per day,2558,165.0
Recycled solid waste,Bueng Kan,Tons per day,2559,174.88
Recycled solid waste,Bueng Kan,Tons per day,2560,170.0
Recycled solid waste,Bueng Kan,Tons per day,2561,214.79
Recycled solid waste,Bueng Kan,Tons per day,2562,311.35
Recycled solid waste,Bueng Kan,Tons per day,2563,163.6
Recycled solid waste,Bueng Kan,Tons per day,2564,91.0
Recycled solid waste,Bueng Kan,Tons per day,2565,170.0
Recycled solid waste,Roi Et,Tons per day,2556,197.89
Recycled solid waste,Roi Et,Tons per day,2557,40.0
Recycled solid waste,Roi Et,Tons per day,2558,35.0
Recycled solid waste,Roi Et,Tons per day,2559,161.24
Recycled solid waste,Roi Et,Tons per day,2560,454.0
Recycled solid waste,Roi Et,Tons per day,2561,685.19
Recycled solid waste,Roi Et,Tons per day,2562,740.06
Recycled solid waste,Roi Et,Tons per day,2563,599.1
Recycled solid waste,Roi Et,Tons per day,2564,467.0
Recycled solid waste,Roi Et,Tons per day,2565,550.0
Recycled solid waste,Phichit,Tons per day,2556,138.78
Recycled solid waste,Phichit,Tons per day,2557,105.0
Recycled solid waste,Phichit,Tons per day,2558,102.0
Recycled solid waste,Phichit,Tons per day,2559,156.41
Recycled solid waste,Phichit,Tons per day,2560,139.0
Recycled solid waste,Phichit,Tons per day,2561,142.59
Recycled solid waste,Phichit,Tons per day,2562,146.92
Recycled solid waste,Phichit,Tons per day,2563,170.0
Recycled solid waste,Phichit,Tons per day,2564,138.0
Recycled solid waste,Phichit,Tons per day,2565,165.0
Recycled solid waste,Samut Songkhram,Tons per day,2556,40.28
Recycled solid waste,Samut Songkhram,Tons per day,2557,60.0
Recycled solid waste,Samut Songkhram,Tons per day,2558,1.0
Recycled solid waste,Samut Songkhram,Tons per day,2559,44.3
Recycled solid waste,Samut Songkhram,Tons per day,2560,52.0
Recycled solid waste,Samut Songkhram,Tons per day,2561,51.12
Recycled solid waste,Samut Songkhram,Tons per day,2562,62.16
Recycled solid waste,Samut Songkhram,Tons per day,2563,42.2
Recycled solid waste,Samut Songkhram,Tons per day,2564,35.0
Recycled solid waste,Samut Songkhram,Tons per day,2565,54.0
Improperly disposed solid waste,Phra Nakhon Si Ayutthaya,Tons per day,2556,672.45
Improperly disposed solid waste,Phra Nakhon Si Ayutthaya,Tons per day,2557,957.0
Improperly disposed solid waste,Phra Nakhon Si Ayutthaya,Tons per day,2558,957.0
Improperly disposed solid waste,Phra Nakhon Si Ayutthaya,Tons per day,2559,726.09
Improperly disposed solid waste,Phra Nakhon Si Ayutthaya,Tons per day,2560,221.0
