_id,Province_E,Province,Disposal name,Address,Operator Name,Latitude,longitude,Disposal Process,area(m^3),Disposal Process group
1,Lampang,ลำปาง,สถานที่กำจัดขยะมูลฝอย ทน.ลำปาง,ม.2  ต.กล้วยแพะ อ.เมืองลำปาง จ.ลำปาง ,ทน.ลำปาง,18.1770,99.5056,ฝังกลบ,992000.0,Landfilling
2,Lampang,ลำปาง,สถานที่กำจัดขยะมูลฝอย ทต.ไหล่หิน,บ้านแม่ฮวก  ม.3  ต.ไหล่หิน อ.เกาะคา จ.ลำปาง 52130,ทต.ไหล่หิน,18.2049,99.3211,เทกอง,11200.0,Dumping
3,Lampang,ลำปาง,สถานที่กำจัดขยะมูลฝอย ทต.นาแก้ว หมู่3,บ้านสบต๋ำ  ม.3  ต.นาแก้ว อ.เกาะคา จ.ลำปาง 52130,ทต.นาแก้ว,18.1102,99.3062,เทกอง,7680.0,Dumping
4,Lampang,ลำปาง,สถานที่กำจัดขยะมูลฝอย ทต.นาแก้ว หมู่4,บ้านนาแก้ว ม.4  ต.นาแก้ว อ.เกาะคา จ.ลำปาง 52130,ทต.นาแก้ว,18.1102,99.3061,เทกอง,6400.0,Dumping
5,Lampang,ลำปาง,สถานที่กำจัดขยะมูลฝอย ทต.นาแก้ว หมู่2,บ้านสองแควใต้  ม.2  ต.นาแก้ว อ.เกาะคา จ.ลำปาง ,ทต.นาแก้ว,18.1430,99.3373,เทกอง,8608.0,Dumping
6,Lampang,ลำปาง,สถานที่กำจัดขยะมูลฝอย ทต.ลำปางหลวง,ม.4  ต.ลำปางหลวง อ.เกาะคา จ.ลำปาง 52130,ทต.ลำปางหลวง,18.2502,99.359,เทกอง,36432.0,Dumping
7,Lampang,ลำปาง,สถานที่กำจัดขยะมูลฝอย ทต.เวียงมอก หมู่13,บ้านแม่พุเหนือ  ม.13  ต.เวียงมอก อ.เถิน จ.ลำปาง 52160,ทต.เวียงมอก,17.3325,99.4351,เทกอง,400.0,Dumping
8,Lampang,ลำปาง,สถานที่กำจัดขยะมูลฝอย ทต.เวียงมอก หมู่4,บ้านปางอ้า  ม.4  ต.เวียงมอก อ.เถิน จ.ลำปาง 52160,ทต.เวียงมอก,17.4078,99.3648,เทกอง,8000.0,Dumping
9,Lampang,ลำปาง,สถานที่กำจัดขยะมูลฝอย ทต.เวียงมอก หมู่8,บ้านหนองหอย  ม.8  ต.เวียงมอก อ.เถิน จ.ลำปาง 52160,ทต.เวียงมอก,17.5094,99.3424,เทกอง,8000.0,Dumping
10,Lampang,ลำปาง,สถานที่กำจัดขยะมูลฝอย ทต.เวียงมอก หมู่9,บ้านหอรบ  ม.9  ต.เวียงมอก อ.เถิน จ.ลำปาง 52160,ทต.เวียงมอก,17.3352,99.454,เทกอง,1600.0,Dumping
