YYMM,CC-CODE,CC-DESC,RCODE-CODE,RCODE-DESC,CCAATT-CODE,CCAATT-DESC,CCAATTMM-CODE,CCAATTMM-DESC,MALE,FEMALE,TOTAL,HOUSE
5612,10,กรุงเทพมหานคร,1001,พระนคร,0, ,0, ,"27,279","29,405","56,684","19,257"
5612,10,กรุงเทพมหานคร,1002,ดุสิต,0, ,0, ,"57,158","49,653","106,811","32,082"
5612,10,กรุงเทพมหานคร,1003,หนองจอก,0, ,0, ,"77,988","81,974","159,962","54,857"
5612,10,กรุงเทพมหานคร,1004,บางรัก,0, ,0, ,"21,792","24,322","46,114","26,777"
5612,10,กรุงเทพมหานคร,1005,บางเขน,0, ,0, ,"91,208","99,336","190,544","95,741"
5612,10,กรุงเทพมหานคร,1006,บางกะปิ,0, ,0, ,"67,959","81,097","149,056","95,265"
5612,10,กรุงเทพมหานคร,1007,ปทุมวัน,0, ,0, ,"24,300","28,313","52,613","26,970"
5612,10,กรุงเทพมหานคร,1008,ป้อมปราบศัตรูพ่าย,0, ,0, ,"24,342","25,750","50,092","19,529"
5612,10,กรุงเทพมหานคร,1009,พระโขนง,0, ,0, ,"42,767","50,007","92,774","45,125"
5612,10,กรุงเทพมหานคร,1010,มีนบุรี,0, ,0, ,"65,517","73,144","138,661","53,584"
5612,10,กรุงเทพมหานคร,1011,ลาดกระบัง,0, ,0, ,"79,315","86,409","165,724","77,688"
5612,10,กรุงเทพมหานคร,1012,ยานนาวา,0, ,0, ,"38,574","42,588","81,162","47,980"
5612,10,กรุงเทพมหานคร,1013,สัมพันธวงศ์,0, ,0, ,"13,088","13,844","26,932","13,252"
5612,10,กรุงเทพมหานคร,1014,พญาไท,0, ,0, ,"36,109","36,386","72,495","38,415"
5612,10,กรุงเทพมหานคร,1015,ธนบุรี,0, ,0, ,"55,653","61,883","117,536","48,510"
5612,10,กรุงเทพมหานคร,1016,บางกอกใหญ่,0, ,0, ,"33,585","37,502","71,087","26,739"
5612,10,กรุงเทพมหานคร,1017,ห้วยขวาง,0, ,0, ,"36,107","42,836","78,943","59,649"
5612,10,กรุงเทพมหานคร,1018,คลองสาน,0, ,0, ,"35,488","40,277","75,765","36,495"
5612,10,กรุงเทพมหานคร,1019,ตลิ่งชัน,0, ,0, ,"50,109","56,083","106,192","38,825"
5612,10,กรุงเทพมหานคร,1020,บางกอกน้อย,0, ,0, ,"56,090","61,413","117,503","46,616"
5612,10,กรุงเทพมหานคร,1021,บางขุนเทียน,0, ,0, ,"80,540","89,074","169,614","77,350"
5612,10,กรุงเทพมหานคร,1022,ภาษีเจริญ,0, ,0, ,"60,901","68,658","129,559","49,968"
5612,10,กรุงเทพมหานคร,1023,หนองแขม,0, ,0, ,"71,202","80,675","151,877","56,222"
5612,10,กรุงเทพมหานคร,1024,ราษฎร์บูรณะ,0, ,0, ,"41,210","44,615","85,825","33,859"
5612,10,กรุงเทพมหานคร,1025,บางพลัด,0, ,0, ,"45,389","52,724","98,113","45,817"
5612,10,กรุงเทพมหานคร,1026,ดินแดง,0, ,0, ,"60,096","68,742","128,838","55,591"
5612,10,กรุงเทพมหานคร,1027,บึงกุ่ม,0, ,0, ,"66,926","78,896","145,822","67,801"
5612,10,กรุงเทพมหานคร,1028,สาทร,0, ,0, ,"39,987","43,911","83,898","36,403"
5612,10,กรุงเทพมหานคร,1029,บางซื่อ,0, ,0, ,"61,839","68,672","130,511","49,995"
5612,10,กรุงเทพมหานคร,1030,จตุจักร,0, ,0, ,"75,600","85,348","160,948","96,304"
5612,10,กรุงเทพมหานคร,1031,บางคอแหลม,0, ,0, ,"44,802","48,706","93,508","36,346"
5612,10,กรุงเทพมหานคร,1032,ประเวศ,0, ,0, ,"77,368","86,117","163,485","74,913"
5612,10,กรุงเทพมหานคร,1033,คลองเตย,0, ,0, ,"51,941","56,125","108,066","62,642"
5612,10,กรุงเทพมหานคร,1034,สวนหลวง,0, ,0, ,"54,087","62,601","116,688","62,255"
5612,10,กรุงเทพมหานคร,1035,จอมทอง,0, ,0, ,"75,457","81,699","157,156","61,962"
5612,10,กรุงเทพมหานคร,1036,ดอนเมือง,0, ,0, ,"83,714","84,113","167,827","67,797"
5612,10,กรุงเทพมหานคร,1037,ราชเทวี,0, ,0, ,"35,239","38,311","73,550","43,242"
5612,10,กรุงเทพมหานคร,1038,ลาดพร้าว,0, ,0, ,"55,821","66,620","122,441","52,300"
5612,10,กรุงเทพมหานคร,1039,วัฒนา,0, ,0, ,"38,976","43,661","82,637","62,049"
5612,10,กรุงเทพมหานคร,1040,บางแค,0, ,0, ,"90,017","102,102","192,119","77,864"
5612,10,กรุงเทพมหานคร,1041,หลักสี่,0, ,0, ,"52,164","56,885","109,049","47,272"
5612,10,กรุงเทพมหานคร,1042,สายไหม,0, ,0, ,"90,289","101,247","191,536","89,604"
5612,10,กรุงเทพมหานคร,1043,คันนายาว,0, ,0, ,"42,189","48,248","90,437","39,200"
5612,10,กรุงเทพมหานคร,1044,สะพานสูง,0, ,0, ,"42,270","49,088","91,358","34,027"
5612,10,กรุงเทพมหานคร,1045,วังทองหลาง,0, ,0, ,"52,749","62,056","114,805","57,178"
5612,10,กรุงเทพมหานคร,1046,คลองสามวา,0, ,0, ,"82,801","91,396","174,197","70,269"
5612,10,กรุงเทพมหานคร,1047,บางนา,0, ,0, ,"44,877","50,327","95,204","56,819"
5612,10,กรุงเทพมหานคร,1048,ทวีวัฒนา,0, ,0, ,"35,755","41,032","76,787","30,833"
5612,10,กรุงเทพมหานคร,1049,ทุ่งครุ,0, ,0, ,"55,457","62,205","117,662","47,130"
5612,10,กรุงเทพมหานคร,1050,บางบอน,0, ,0, ,"50,830","55,255","106,085","47,459"
5712,10,กรุงเทพมหานคร,1001,พระนคร,0, ,0, ,"26,695","28,678","55,373","19,258"
