COUNTRY,COUNTRY_FULL,FOB(Baht),date,HS_code_4digit,imex_type
ID,INDONESIA,62890,2003-01-01,3825,export
TW,"TAIWAN, PROVINCE OF CHINA",44116,2003-01-01,3825,export
BD,BANGLADESH,13944,2005-01-01,3825,export
LA,LAO PDR,7491,2005-01-01,3825,export
BT,BHUTAN,15170,2006-01-01,3825,export
ID,INDONESIA,169062,2006-01-01,3825,export
JP,JAPAN,156273,2006-01-01,3825,export
SC,SEYCHELLES,122214,2006-01-01,3825,export
SG,SINGAPORE,600,2006-01-01,3825,export
VN,VIETNAM,677394,2006-01-01,3825,export
HK,HONG KONG,226787,2007-01-01,3825,export
MY,MALAYSIA,33853,2007-01-01,3825,export
CN,CHINA,3034890,2008-01-01,3825,export
LA,LAO PDR,1350,2008-01-01,3825,export
SG,SINGAPORE,900,2008-01-01,3825,export
VN,VIETNAM,442064,2008-01-01,3825,export
CN,CHINA,1427525,2009-01-01,3825,export
IR,IRAN (ISLAMIC REPUBLIC OF),171568,2009-01-01,3825,export
JP,JAPAN,89833532,2009-01-01,3825,export
LA,LAO PDR,36915,2009-01-01,3825,export
MY,MALAYSIA,491939,2009-01-01,3825,export
PK,PAKISTAN,1088087,2009-01-01,3825,export
VN,VIETNAM,304782,2009-01-01,3825,export
DE,GERMANY,401152,2010-01-01,3825,export
HK,HONG KONG,893516,2010-01-01,3825,export
ID,INDONESIA,3303,2010-01-01,3825,export
JP,JAPAN,361,2010-01-01,3825,export
MY,MALAYSIA,367584,2010-01-01,3825,export
MM,MYANMAR,8596,2010-01-01,3825,export
SI,SLOVENIA,11792,2010-01-01,3825,export
US,UNITED STATES,2000,2010-01-01,3825,export
VN,VIETNAM,198,2010-01-01,3825,export
AU,AUSTRALIA,324,2011-01-01,3825,export
DE,GERMANY,2438509,2011-01-01,3825,export
HK,HONG KONG,732735,2011-01-01,3825,export
LA,LAO PDR,18900,2011-01-01,3825,export
MY,MALAYSIA,546153,2011-01-01,3825,export
MM,MYANMAR,20415,2011-01-01,3825,export
NZ,NEW ZEALAND,2992,2011-01-01,3825,export
OM,OMAN,29274,2011-01-01,3825,export
SG,SINGAPORE,5984,2011-01-01,3825,export
GB,UNITED KINGDOM,79,2011-01-01,3825,export
US,UNITED STATES,8257,2011-01-01,3825,export
VN,VIETNAM,8873,2011-01-01,3825,export
CN,CHINA,129,2012-01-01,3825,export
DE,GERMANY,124,2012-01-01,3825,export
HK,HONG KONG,145395,2012-01-01,3825,export
JP,JAPAN,186,2012-01-01,3825,export
KR,"KOREA,REPUBLIC OF",3460487,2012-01-01,3825,export
LA,LAO PDR,1040000,2012-01-01,3825,export
MY,MALAYSIA,260002,2012-01-01,3825,export
MM,MYANMAR,63775,2012-01-01,3825,export
NL,NETHERLANDS,62,2012-01-01,3825,export
PH,PHILIPPINES,310,2012-01-01,3825,export
SA,SAUDI ARABIA,23776,2012-01-01,3825,export
SG,SINGAPORE,319,2012-01-01,3825,export
US,UNITED STATES,8000,2012-01-01,3825,export
CN,CHINA,30983,2013-01-01,3825,export
FR,FRANCE,1198,2013-01-01,3825,export
DE,GERMANY,58699,2013-01-01,3825,export
HK,HONG KONG,182,2013-01-01,3825,export
LA,LAO PDR,69800,2013-01-01,3825,export
MY,MALAYSIA,399545,2013-01-01,3825,export
MM,MYANMAR,8079,2013-01-01,3825,export
SG,SINGAPORE,205,2013-01-01,3825,export
TW,"TAIWAN, PROVINCE OF CHINA",40622,2013-01-01,3825,export
GB,UNITED KINGDOM,425,2013-01-01,3825,export
VN,VIETNAM,579285,2013-01-01,3825,export
DE,GERMANY,56810,2014-01-01,3825,export
IL,ISRAEL,1032,2014-01-01,3825,export
LA,LAO PDR,29194,2014-01-01,3825,export
MY,MALAYSIA,1720456,2014-01-01,3825,export
MM,MYANMAR,39887,2014-01-01,3825,export
UG,UGANDA,161,2014-01-01,3825,export
VN,VIETNAM,301414,2014-01-01,3825,export
CN,CHINA,120,2015-01-01,3825,export
JP,JAPAN,5077627,2015-01-01,3825,export
LA,LAO PDR,63471,2015-01-01,3825,export
MY,MALAYSIA,148093,2015-01-01,3825,export
MM,MYANMAR,28500,2015-01-01,3825,export
VN,VIETNAM,177911,2015-01-01,3825,export
ID,INDONESIA,4733,2016-01-01,3825,export
JP,JAPAN,3339896,2016-01-01,3825,export
LA,LAO PDR,26481,2016-01-01,3825,export
MY,MALAYSIA,66669,2016-01-01,3825,export
MM,MYANMAR,10000,2016-01-01,3825,export
CH,SWITZERLAND,143,2016-01-01,3825,export
VN,VIETNAM,152210,2016-01-01,3825,export
CN,CHINA,387843,2017-01-01,3825,export
DE,GERMANY,628032,2017-01-01,3825,export
JP,JAPAN,6959046,2017-01-01,3825,export
LA,LAO PDR,351717,2017-01-01,3825,export
MY,MALAYSIA,122606,2017-01-01,3825,export
MM,MYANMAR,2000,2017-01-01,3825,export
VN,VIETNAM,272368,2017-01-01,3825,export
DE,GERMANY,100434,2018-01-01,3825,export
HK,HONG KONG,35392,2018-01-01,3825,export
IN,INDIA,3031586,2018-01-01,3825,export
JP,JAPAN,7878194,2018-01-01,3825,export
LA,LAO PDR,295690,2018-01-01,3825,export
MY,MALAYSIA,75379,2018-01-01,3825,export
MM,MYANMAR,4998,2018-01-01,3825,export
VN,VIETNAM,100920,2018-01-01,3825,export
JP,JAPAN,8022051,2019-01-01,3825,export
LA,LAO PDR,990913,2019-01-01,3825,export
MY,MALAYSIA,295189,2019-01-01,3825,export
MM,MYANMAR,3000,2019-01-01,3825,export
HK,HONG KONG,8371,2020-01-01,3825,export
ID,INDONESIA,2311568,2020-01-01,3825,export
JP,JAPAN,2664574,2020-01-01,3825,export
LA,LAO PDR,76275,2020-01-01,3825,export
MY,MALAYSIA,88128,2020-01-01,3825,export
PH,PHILIPPINES,2766609,2020-01-01,3825,export
VN,VIETNAM,64528,2020-01-01,3825,export
KH,CAMBODIA,3600,2021-01-01,3825,export
CN,CHINA,298060,2021-01-01,3825,export
HK,HONG KONG,43451,2021-01-01,3825,export
ID,INDONESIA,465241,2021-01-01,3825,export
JP,JAPAN,4730130,2021-01-01,3825,export
LA,LAO PDR,59421,2021-01-01,3825,export
MY,MALAYSIA,1349565,2021-01-01,3825,export
SG,SINGAPORE,29940,2021-01-01,3825,export
VN,VIETNAM,1304021,2021-01-01,3825,export
HK,HONG KONG,10665,2022-01-01,3825,export
JP,JAPAN,8467155,2022-01-01,3825,export
LA,LAO PDR,300522,2022-01-01,3825,export
MY,MALAYSIA,14688,2022-01-01,3825,export
PH,PHILIPPINES,1766626,2022-01-01,3825,export
LK,SRI LANKA,13994,2022-01-01,3825,export
KH,CAMBODIA,31124,2023-01-01,3825,export
HK,HONG KONG,69682,2023-01-01,3825,export
IN,INDIA,2242534,2023-01-01,3825,export
JP,JAPAN,17549713,2023-01-01,3825,export
LA,LAO PDR,176226,2023-01-01,3825,export
MY,MALAYSIA,931140,2023-01-01,3825,export
LK,SRI LANKA,417200,2023-01-01,3825,export
AU,AUSTRALIA,50,2024-01-01,3825,export
BD,BANGLADESH,36025,2024-01-01,3825,export
HK,HONG KONG,27299,2024-01-01,3825,export
IN,INDIA,896297,2024-01-01,3825,export
ID,INDONESIA,703254,2024-01-01,3825,export
JP,JAPAN,9161044,2024-01-01,3825,export
LA,LAO PDR,17091,2024-01-01,3825,export
MM,MYANMAR,69940,2024-01-01,3825,export
SG,SINGAPORE,173,2024-01-01,3825,export
US,UNITED STATES,6300,2024-01-01,3825,export
ID,INDONESIA,0,2003-02-01,3825,export
MV,MALDIVES,4683,2003-02-01,3825,export
TW,"TAIWAN, PROVINCE OF CHINA",0,2003-02-01,3825,export
KR,"KOREA,REPUBLIC OF",28000,2004-02-01,3825,export
US,UNITED STATES,17478,2004-02-01,3825,export
VN,VIETNAM,99278,2004-02-01,3825,export
BD,BANGLADESH,0,2005-02-01,3825,export
LA,LAO PDR,209823,2005-02-01,3825,export
MY,MALAYSIA,140855,2005-02-01,3825,export
MM,MYANMAR,22058,2005-02-01,3825,export
VN,VIETNAM,2512,2005-02-01,3825,export
BD,BANGLADESH,1096606,2006-02-01,3825,export
BT,BHUTAN,0,2006-02-01,3825,export
ID,INDONESIA,0,2006-02-01,3825,export
JP,JAPAN,1530922,2006-02-01,3825,export
SC,SEYCHELLES,0,2006-02-01,3825,export
SG,SINGAPORE,0,2006-02-01,3825,export
VN,VIETNAM,0,2006-02-01,3825,export
HK,HONG KONG,695650,2007-02-01,3825,export
ID,INDONESIA,91815,2007-02-01,3825,export
JP,JAPAN,30091,2007-02-01,3825,export
KR,"KOREA,REPUBLIC OF",134882,2007-02-01,3825,export
LA,LAO PDR,59402,2007-02-01,3825,export
MY,MALAYSIA,196534,2007-02-01,3825,export
TW,"TAIWAN, PROVINCE OF CHINA",1,2007-02-01,3825,export
US,UNITED STATES,1175952,2007-02-01,3825,export
CN,CHINA,5489792,2008-02-01,3825,export
HK,HONG KONG,84268,2008-02-01,3825,export
IN,INDIA,32,2008-02-01,3825,export
LA,LAO PDR,112500,2008-02-01,3825,export
SG,SINGAPORE,0,2008-02-01,3825,export
VN,VIETNAM,0,2008-02-01,3825,export
CA,CANADA,69,2009-02-01,3825,export
CN,CHINA,1443844,2009-02-01,3825,export
IR,IRAN (ISLAMIC REPUBLIC OF),0,2009-02-01,3825,export
JP,JAPAN,1526078,2009-02-01,3825,export
LA,LAO PDR,53980,2009-02-01,3825,export
MY,MALAYSIA,494360,2009-02-01,3825,export
NZ,NEW ZEALAND,3000,2009-02-01,3825,export
PK,PAKISTAN,0,2009-02-01,3825,export
SG,SINGAPORE,7070,2009-02-01,3825,export
VN,VIETNAM,209241,2009-02-01,3825,export
KH,CAMBODIA,295070,2010-02-01,3825,export
CO,COLOMBIA,1053,2010-02-01,3825,export
DE,GERMANY,394617,2010-02-01,3825,export
HK,HONG KONG,305986,2010-02-01,3825,export
ID,INDONESIA,0,2010-02-01,3825,export
IR,IRAN (ISLAMIC REPUBLIC OF),66661,2010-02-01,3825,export
JP,JAPAN,0,2010-02-01,3825,export
LA,LAO PDR,47175,2010-02-01,3825,export
MY,MALAYSIA,0,2010-02-01,3825,export
MM,MYANMAR,19865,2010-02-01,3825,export
NL,NETHERLANDS,365984,2010-02-01,3825,export
SI,SLOVENIA,340544,2010-02-01,3825,export
US,UNITED STATES,0,2010-02-01,3825,export
VN,VIETNAM,120099,2010-02-01,3825,export
AU,AUSTRALIA,0,2011-02-01,3825,export
DE,GERMANY,0,2011-02-01,3825,export
HK,HONG KONG,914039,2011-02-01,3825,export
LA,LAO PDR,0,2011-02-01,3825,export
MY,MALAYSIA,4061,2011-02-01,3825,export
MM,MYANMAR,79282,2011-02-01,3825,export
NZ,NEW ZEALAND,0,2011-02-01,3825,export
OM,OMAN,0,2011-02-01,3825,export
PH,PHILIPPINES,455,2011-02-01,3825,export
SG,SINGAPORE,0,2011-02-01,3825,export
GB,UNITED KINGDOM,0,2011-02-01,3825,export
US,UNITED STATES,0,2011-02-01,3825,export
VN,VIETNAM,167839,2011-02-01,3825,export
KH,CAMBODIA,117617,2012-02-01,3825,export
CN,CHINA,0,2012-02-01,3825,export
DE,GERMANY,0,2012-02-01,3825,export
HK,HONG KONG,1954277,2012-02-01,3825,export
JP,JAPAN,7297,2012-02-01,3825,export
KR,"KOREA,REPUBLIC OF",0,2012-02-01,3825,export
LA,LAO PDR,699189,2012-02-01,3825,export
MY,MALAYSIA,78874,2012-02-01,3825,export
MM,MYANMAR,34900,2012-02-01,3825,export
NL,NETHERLANDS,0,2012-02-01,3825,export
PH,PHILIPPINES,0,2012-02-01,3825,export
SA,SAUDI ARABIA,0,2012-02-01,3825,export
SG,SINGAPORE,39370,2012-02-01,3825,export
US,UNITED STATES,0,2012-02-01,3825,export
VN,VIETNAM,170908,2012-02-01,3825,export
CN,CHINA,0,2013-02-01,3825,export
CZ,CZECH REPUBLIC,590,2013-02-01,3825,export
FR,FRANCE,0,2013-02-01,3825,export
DE,GERMANY,132026,2013-02-01,3825,export
HK,HONG KONG,3754,2013-02-01,3825,export
LA,LAO PDR,38879,2013-02-01,3825,export
MY,MALAYSIA,500470,2013-02-01,3825,export
MM,MYANMAR,0,2013-02-01,3825,export
PK,PAKISTAN,0,2013-02-01,3825,export
PL,POLAND,62883,2013-02-01,3825,export
SG,SINGAPORE,15062,2013-02-01,3825,export
TW,"TAIWAN, PROVINCE OF CHINA",0,2013-02-01,3825,export
GB,UNITED KINGDOM,2850,2013-02-01,3825,export
VN,VIETNAM,518671,2013-02-01,3825,export
DE,GERMANY,41019,2014-02-01,3825,export
IL,ISRAEL,0,2014-02-01,3825,export
JP,JAPAN,16,2014-02-01,3825,export
LA,LAO PDR,72853,2014-02-01,3825,export
MY,MALAYSIA,31812,2014-02-01,3825,export
MZ,MOZAMBIQUE,15091,2014-02-01,3825,export
MM,MYANMAR,12000,2014-02-01,3825,export
SG,SINGAPORE,326,2014-02-01,3825,export
TW,"TAIWAN, PROVINCE OF CHINA",140604,2014-02-01,3825,export
UG,UGANDA,0,2014-02-01,3825,export
US,UNITED STATES,32,2014-02-01,3825,export
VN,VIETNAM,0,2014-02-01,3825,export
CN,CHINA,0,2015-02-01,3825,export
JP,JAPAN,2487653,2015-02-01,3825,export
LA,LAO PDR,8526,2015-02-01,3825,export
MY,MALAYSIA,771536,2015-02-01,3825,export
MM,MYANMAR,8000,2015-02-01,3825,export
VN,VIETNAM,195085,2015-02-01,3825,export
AU,AUSTRALIA,720,2016-02-01,3825,export
CN,CHINA,36,2016-02-01,3825,export
DE,GERMANY,360,2016-02-01,3825,export
IN,INDIA,102,2016-02-01,3825,export
ID,INDONESIA,2160,2016-02-01,3825,export
JP,JAPAN,3590518,2016-02-01,3825,export
LA,LAO PDR,81508,2016-02-01,3825,export
MY,MALAYSIA,162770,2016-02-01,3825,export
MM,MYANMAR,11000,2016-02-01,3825,export
SE,SWEDEN,343617,2016-02-01,3825,export
CH,SWITZERLAND,0,2016-02-01,3825,export
GB,UNITED KINGDOM,144,2016-02-01,3825,export
US,UNITED STATES,144,2016-02-01,3825,export
VN,VIETNAM,149815,2016-02-01,3825,export
KH,CAMBODIA,76824,2017-02-01,3825,export
CN,CHINA,381345,2017-02-01,3825,export
DE,GERMANY,380425,2017-02-01,3825,export
JP,JAPAN,5218841,2017-02-01,3825,export
LA,LAO PDR,140371,2017-02-01,3825,export
MY,MALAYSIA,0,2017-02-01,3825,export
MM,MYANMAR,15128,2017-02-01,3825,export
US,UNITED STATES,1864,2017-02-01,3825,export
VN,VIETNAM,54706,2017-02-01,3825,export
KH,CAMBODIA,45500,2018-02-01,3825,export
DE,GERMANY,0,2018-02-01,3825,export
HK,HONG KONG,4425,2018-02-01,3825,export
IN,INDIA,0,2018-02-01,3825,export
JP,JAPAN,8488813,2018-02-01,3825,export
LA,LAO PDR,314633,2018-02-01,3825,export
MY,MALAYSIA,133431,2018-02-01,3825,export
MM,MYANMAR,5000,2018-02-01,3825,export
NL,NETHERLANDS,58092,2018-02-01,3825,export
SG,SINGAPORE,10,2018-02-01,3825,export
VN,VIETNAM,524833,2018-02-01,3825,export
CN,CHINA,344391,2019-02-01,3825,export
DE,GERMANY,3563,2019-02-01,3825,export
HK,HONG KONG,9752,2019-02-01,3825,export
IN,INDIA,1681115,2019-02-01,3825,export
JP,JAPAN,6058449,2019-02-01,3825,export
LA,LAO PDR,1866942,2019-02-01,3825,export
MY,MALAYSIA,58752,2019-02-01,3825,export
MM,MYANMAR,0,2019-02-01,3825,export
HK,HONG KONG,12724,2020-02-01,3825,export
IN,INDIA,2520740,2020-02-01,3825,export
ID,INDONESIA,826571,2020-02-01,3825,export
JP,JAPAN,2868905,2020-02-01,3825,export
LA,LAO PDR,62415,2020-02-01,3825,export
MY,MALAYSIA,294156,2020-02-01,3825,export
PH,PHILIPPINES,387873,2020-02-01,3825,export
SG,SINGAPORE,132802,2020-02-01,3825,export
US,UNITED STATES,3015,2020-02-01,3825,export
VN,VIETNAM,297108,2020-02-01,3825,export
KH,CAMBODIA,0,2021-02-01,3825,export
CN,CHINA,307016,2021-02-01,3825,export
HK,HONG KONG,68701,2021-02-01,3825,export
ID,INDONESIA,218764,2021-02-01,3825,export
JP,JAPAN,4524613,2021-02-01,3825,export
KR,"KOREA,REPUBLIC OF",1291540,2021-02-01,3825,export
LA,LAO PDR,119259,2021-02-01,3825,export
MY,MALAYSIA,640419,2021-02-01,3825,export
AN,NETHERLANDS ANTILLES,917275,2021-02-01,3825,export
SG,SINGAPORE,0,2021-02-01,3825,export
VN,VIETNAM,316086,2021-02-01,3825,export
HK,HONG KONG,196170,2022-02-01,3825,export
JP,JAPAN,29632522,2022-02-01,3825,export
LA,LAO PDR,634567,2022-02-01,3825,export
MY,MALAYSIA,412129,2022-02-01,3825,export
MM,MYANMAR,182700,2022-02-01,3825,export
PH,PHILIPPINES,0,2022-02-01,3825,export
LK,SRI LANKA,0,2022-02-01,3825,export
VN,VIETNAM,5828509,2022-02-01,3825,export
KH,CAMBODIA,0,2023-02-01,3825,export
HK,HONG KONG,64752,2023-02-01,3825,export
IN,INDIA,3804915,2023-02-01,3825,export
JP,JAPAN,4057804,2023-02-01,3825,export
LA,LAO PDR,1262527,2023-02-01,3825,export
MY,MALAYSIA,360328,2023-02-01,3825,export
MM,MYANMAR,70733,2023-02-01,3825,export
SG,SINGAPORE,25345,2023-02-01,3825,export
LK,SRI LANKA,22318,2023-02-01,3825,export
US,UNITED STATES,65,2023-02-01,3825,export
VN,VIETNAM,1955180,2023-02-01,3825,export
AU,AUSTRALIA,0,2024-02-01,3825,export
BD,BANGLADESH,0,2024-02-01,3825,export
HK,HONG KONG,13681,2024-02-01,3825,export
IN,INDIA,0,2024-02-01,3825,export
ID,INDONESIA,0,2024-02-01,3825,export
JP,JAPAN,3456810,2024-02-01,3825,export
LA,LAO PDR,502125,2024-02-01,3825,export
MM,MYANMAR,194020,2024-02-01,3825,export
SG,SINGAPORE,0,2024-02-01,3825,export
US,UNITED STATES,318,2024-02-01,3825,export
ID,INDONESIA,0,2003-03-01,3825,export
LA,LAO PDR,41614,2003-03-01,3825,export
MV,MALDIVES,0,2003-03-01,3825,export
TW,"TAIWAN, PROVINCE OF CHINA",0,2003-03-01,3825,export
VN,VIETNAM,287822,2003-03-01,3825,export
KR,"KOREA,REPUBLIC OF",0,2004-03-01,3825,export
LA,LAO PDR,392,2004-03-01,3825,export
MV,MALDIVES,327,2004-03-01,3825,export
US,UNITED STATES,0,2004-03-01,3825,export
VN,VIETNAM,150368,2004-03-01,3825,export
BD,BANGLADESH,0,2005-03-01,3825,export
HK,HONG KONG,11333,2005-03-01,3825,export
LA,LAO PDR,0,2005-03-01,3825,export
