HS_CODE,Quantity_unit,description,Quantity,FOB(Baht),date,HS_code_4digit,imex_type
3825900,KGM,"Other residual products of the chemical or allied industries, not elsewhere specified or included (KGM)",477,107006,2003-01-01,3825,export
3825900,KGM,"Other residual products of the chemical or allied industries, not elsewhere specified or included (KGM)",80,21435,2005-01-01,3825,export
3825490,KGM,Other waste organic solvents (KGM),651,122214,2006-01-01,3825,export
3825900,KGM,"Other residual products of the chemical or allied industries, not elsewhere specified or included (KGM)",5377,1018499,2006-01-01,3825,export
38254900,KGM,Halogenated (KGM),375,33853,2007-01-01,3825,export
38259000,KGM,Other (KGM),216,226787,2007-01-01,3825,export
38259000,KGM,Other (KGM),30381,3479204,2008-01-01,3825,export
38255000,KGM,Other (KGM),600,36915,2009-01-01,3825,export
38259000,KGM,Other (KGM),40756,93317433,2009-01-01,3825,export
38256900,KGM,Other (KGM),17649,412944,2010-01-01,3825,export
38259000,KGM,Other (KGM),13526,1275558,2010-01-01,3825,export
38256900,KGM,Other (KGM),87236,2415856,2011-01-01,3825,export
38259000,KGM,Other (KGM),84133,1396639,2011-01-01,3825,export
38253010,KGM,Clinical waste: (KGM),75,12500,2012-01-01,3825,export
38253090,KGM,"Syringes, needles, cannulae and the like (KGM)",5,439,2012-01-01,3825,export
38254900,KGM,Halogenated (KGM),10000,280000,2012-01-01,3825,export
38255000,KGM,Other (KGM),90,8000,2012-01-01,3825,export
38256900,KGM,Other (KGM),0,16769,2012-01-01,3825,export
38259000,KGM,Other (KGM),124380,4684857,2012-01-01,3825,export
38251000,KGM,Municipal waste (KGM),200,8079,2013-01-01,3825,export
38252000,KGM,Sewage sludge (KGM),2,74,2013-01-01,3825,export
38253090,KGM,"Syringes, needles, cannulae and the like (KGM)",1,60,2013-01-01,3825,export
38254900,KGM,Halogenated (KGM),2,327,2013-01-01,3825,export
38255000,KGM,Other (KGM),1200,69800,2013-01-01,3825,export
38256100,KGM,"Wastes of metal pickling liquors, hydraulic fluids, brake fluids and antifreeze fluids (KGM)",930,1198,2013-01-01,3825,export
38256900,KGM,Other (KGM),19000,57714,2013-01-01,3825,export
38259000,KGM,Other (KGM),12030,1051771,2013-01-01,3825,export
38253010,KGM,Clinical waste: (KGM),72,18000,2014-01-01,3825,export
38253090,KGM,"Syringes, needles, cannulae and the like (KGM)",0,1032,2014-01-01,3825,export
