HS_CODE,Quantity_unit,description,Quantity,CIF(Baht),date,HS_code_4digit,imex_type
3825490,KGM,Other waste organic solvents (KGM),0,41,2002-01-01,3825,import
3825610,KGM,"Other wastes from chemical or allied industries, mainly containing organic constituents (KGM)",4500,182478,2002-01-01,3825,import
3825900,KGM,"Other residual products of the chemical or allied industries, not elsewhere specified or included (KGM)",1082,25121,2002-01-01,3825,import
3825900,KGM,"Other residual products of the chemical or allied industries, not elsewhere specified or included (KGM)",2,1636,2003-01-01,3825,import
3825900,KGM,"Other residual products of the chemical or allied industries, not elsewhere specified or included (KGM)",18,3027,2005-01-01,3825,import
3825300,KGM,Clinical waste (KGM),12,17515,2006-01-01,3825,import
3825900,KGM,"Other residual products of the chemical or allied industries, not elsewhere specified or included (KGM)",44816,1112998,2006-01-01,3825,import
38253000,KGM,- Clinical waste (KGM),207,63552,2007-01-01,3825,import
38259000,KGM,Other (KGM),808,959356,2008-01-01,3825,import
38254900,KGM,Halogenated (KGM),480,59764,2009-01-01,3825,import
38259000,KGM,Other (KGM),35,101115,2009-01-01,3825,import
38254900,KGM,Halogenated (KGM),600,79801,2010-01-01,3825,import
38259000,KGM,Other (KGM),4826,1150278,2010-01-01,3825,import
38251000,KGM,Municipal waste (KGM),3000,3000,2011-01-01,3825,import
38254900,KGM,Halogenated (KGM),256,117689,2011-01-01,3825,import
38259000,KGM,Other (KGM),44,106527,2011-01-01,3825,import
38259000,KGM,Other (KGM),2125,408908,2012-01-01,3825,import
38254900,KGM,Halogenated (KGM),1165,151175,2013-01-01,3825,import
38255000,KGM,Other (KGM),90,74771,2013-01-01,3825,import
38259000,KGM,Other (KGM),127,310590,2013-01-01,3825,import
38252000,KGM,Sewage sludge (KGM),235,63547,2014-01-01,3825,import
38254900,KGM,Halogenated (KGM),2,324,2014-01-01,3825,import
38259000,KGM,Other (KGM),34482,2712964,2014-01-01,3825,import
38252000,KGM,Sewage sludge (KGM),1,8156,2015-01-01,3825,import
38254900,KGM,Halogenated (KGM),388,48980,2015-01-01,3825,import
38259000,KGM,Other (KGM),25290,1279544,2015-01-01,3825,import
38252000,KGM,Sewage sludge (KGM),438,729948,2016-01-01,3825,import
38254900,KGM,Halogenated (KGM),388,47288,2016-01-01,3825,import
38259000,KGM,Other (KGM),414,71344,2016-01-01,3825,import
38252000,KGM,Sewage sludge (KGM),313,35116,2017-01-01,3825,import
