เขต,1/10/2553,1/11/2553,1/12/2553,1/1/2554,1/2/2554,1/3/2554,1/4/2554,1/5/2554,1/6/2554,1/7/2554,1/8/2554,1/9/2554,1/10/2554,1/11/2554,1/12/2554,1/1/2555,1/2/2555,1/3/2555,1/4/2555,1/5/2555,1/6/2555,1/7/2555,1/8/2555,1/9/2555,1/10/2555,1/11/2555,1/12/2555,1/1/2556,1/2/2556,1/3/2556,1/4/2556,1/5/2556,1/6/2556,1/7/2556,1/8/2556,1/9/2556,1/10/2556,1/11/2556,1/12/2556,1/1/2557,1/2/2557,1/3/2557,1/4/2557,1/5/2557,1/6/2557,1/7/2557,1/8/2557,1/9/2557,1/10/2557,1/11/2557,1/12/2557,1/1/2558,1/2/2558,1/3/2558,1/4/2558,1/5/2558,1/6/2558,1/7/2558,1/8/2558,1/9/2558,1/10/2558,1/11/2558,1/12/2558,1/1/2559,1/2/2559,1/3/2559,1/4/2559,1/5/2559,1/6/2559,1/7/2559,1/8/2559,1/9/2559,1/10/2559,1/11/2559,1/12/2559,1/1/2560,1/2/2560,1/3/2560,1/4/2560,1/5/2560,1/6/2560,1/7/2560,1/8/2560,1/9/2560,1/10/2560,1/11/2560,1/12/2560,1/1/2561,1/2/2561,1/3/2561,1/4/2561,1/5/2561,1/6/2561,1/7/2561,1/8/2561,1/9/2561,1/10/2561,1/11/2561,1/12/2561,1/1/2562,1/2/2562,1/3/2562,1/4/2562,1/5/2562,1/6/2562,1/7/2562,1/8/2562,1/9/2562,1/10/2562,1/11/2562,1/12/2562,1/1/2563,1/2/2563,1/3/2563,1/4/2563,1/5/2563,1/6/2563,1/7/2563,1/8/2563,1/9/2563,1/10/2563,1/11/2563,1/12/2563,1/1/2564,1/2/2564,1/3/2564,1/4/2564,1/5/2564,1/6/2564,1/7/2564,1/8/2564,1/9/2564,1/10/2564,1/11/2564,1/12/2564,1/1/2565,1/2/2565,1/3/2565,1/4/2565,1/5/2565,1/6/2565,1/7/2565,1/8/2565,1/9/2565
คลองเตย,"8,801.66",8214.82 ,"8,378.24","8,227.06",7819.61 ,8866.77 ,"7,989.38","8,903.28","8,881.01","9,018.87","9,341.81","9,048.80","8,718.10","9,070.47","9,494.45","9,485.00","9,020.16","9,876.44","8,798.24","9,865.71","9,589.13","9,892.81","9,798.63","9,757.84","10,353.60","9,990.13","9,945.94","10,076.70","9,417.61",10371.00 ,9625.22 ,10995.90 ,"10,705.60","10,697.40","10,914.60","11,105.80","11,205.60","10,063.80","9,975.19","10,084.60","9,350.83",10412.40 ,9728.25 ,10582.30 ,"10,701.70","10,623.80","10,513.50","10,133.10","11,091.20","10,082.50","10,219.00","10,043.90","9,458.38",10536.50 ,9963.66 ,10580.30 ,"10,783.60","10,526.10","10,526.80","10,074.60","10,644.70","10,120.00","9,847.81","7,634.42","9,730.95",10559.50 ,9415.67 ,10088.60 ,"10,404.40","10,555.40","10,765.70","9,875.75","10,256.30","9,713.38","9,687.42","9,727.68","8,739.97",10093.80 ,9192.37 ,10250.40 ,"10,085.40","10,065.90","9,447.58","9,135.98","9,273.45","8,864.92","8,808.67","8,952.41","8,583.18",9397.08 ,8712.35 ,9585.28 ,"9,290.67","9,346.70","9,629.90","9,213.72","8,616.38","8,866.23","9,091.12","8,570.90","9,215.19","8,494.38","8,900.68","8,799.86","9,360.64","9,642.36","9,011.94","107,875.94","8,510.88","8,963.05","9,265.36","8,499.32","8,797.98","8,465.99","8,214.78","7,627.98","7,288.13","7,332.18","7,258.54","99,297.35","7,424.94","6,999.95","7,101.32","6,687.54","6,771.80","7,700.81","6,842.05","6,187.28","6,708.68","6,648.74","6,593.22","6,851.82","6,916.77","6,736.57","6,943.57","7,073.92","6,568.48","7,399.27","7,308.97","7,906.60","7,972.07","7,979.00","7,960.85","8,784.61"
คลองสาน,"3,681.78",3484.53 ,"3,545.61","3,533.28",3359.96 ,3756.86 ,"3,541.38","3,902.05","3,936.00","3,835.63","3,977.11","3,677.62","3,508.62","3,881.12","3,936.04","3,846.14","3,647.53","3,829.24","3,677.87","3,999.43","3,817.91","3,874.64","3,908.53","3,850.47","3,995.21","3,784.91","3,815.75","3,863.04","3,635.66",3919.86 ,3766.36 ,3798.11 ,"3,951.50","3,973.88","3,961.32","3,955.16","3,873.71","3,693.31","3,607.25","3,712.00","3,391.36",3707.31 ,3586.62 ,3798.56 ,"3,948.18","4,073.93","4,082.98","3,887.06","4,045.38","3,842.80","3,988.61","3,875.30","3,859.41",4310.24 ,3862.96 ,4226.73 ,"4,264.26","4,359.44","4,224.99","4,057.81","4,177.18","3,959.10","3,898.44","3,986.61","3,741.02",3967.67 ,3670.34 ,3655.62 ,"3,654.93","3,790.77","3,967.30","3,740.79","3,901.31","3,521.05","3,841.83","3,900.89","3,397.92",3879.47 ,3649.19 ,4087.39 ,"3,822.36","4,017.34","3,886.84","3,779.88","3,953.14","3,741.27","3,771.21","3,862.31","3,630.11",3967.80 ,3725.06 ,4045.37 ,"3,797.35","3,722.18","3,868.45","3,534.99","3,966.11","4,132.98","4,154.18","3,867.40","4,037.95","3,917.06","4,024.85","3,920.29","3,917.07","4,152.10","4,045.13","47,994.78","3,897.66","4,078.72","3,778.38","3,139.54","3,280.56","2,916.19","3,189.07","3,185.14","3,183.29","3,184.69","3,085.18","41,040.81","3,166.05","3,084.62","3,101.57","3,014.40","2,890.75","3,255.87","3,077.62","3,197.38","2,990.16","2,844.01","2,827.28","2,887.97","3,052.92","2,966.39","3,041.86","3,111.81","2,844.69","3,131.93","3,078.69","3,300.93","3,255.29","3,278.10","3,296.85","3,252.38"
คลองสามวา,"4,123.38",3656.91 ,"3,595.16","3,536.87",3488.02 ,4088.90 ,"3,873.25","4,348.28","4,250.48","4,245.75","3,836.32","3,363.19","2,842.52","4,012.67","4,458.77","4,419.50","4,141.66","4,338.78","4,363.81","4,825.84","4,645.73","4,894.74","5,099.42","5,132.68","5,171.30","4,695.97","4,861.60","4,990.94","4,561.80",5020.69 ,5031.28 ,5401.95 ,"5,319.59","5,484.77","5,363.77","5,131.34","5,399.62","4,803.50","4,879.29","4,958.71","4,669.84",5075.75 ,4957.60 ,5449.83 ,"5,477.26","5,557.80","5,672.19","5,161.34","5,355.51","4,914.95","5,126.43","5,129.61","4,967.98",5670.94 ,5516.70 ,5693.37 ,"5,506.56","5,693.69","5,784.38","5,550.04","5,751.15","5,122.63","5,324.25","5,566.20","5,172.26",5526.97 ,5045.44 ,5596.63 ,"5,816.71","4,960.18","4,995.83","5,152.79","5,703.21","5,372.60","5,670.00","5,886.45","5,146.91",5968.13 ,5639.30 ,6380.94 ,"5,708.96","6,274.86","6,521.29","6,318.49","6,536.56","6,020.13","6,098.24","6,346.98","5,499.77",6562.01 ,5635.02 ,6388.36 ,"6,258.45","5,821.24","6,048.60","5,570.11","6,015.60","6,280.77","6,516.25","6,057.71","6,490.98","6,330.75","6,734.77","6,669.83","6,836.16","6,810.42","6,582.20","77,963.03","6,112.82","5,969.17","6,147.93","5,083.97","5,317.09","5,837.04","6,341.55","6,247.50","6,169.61","6,134.45","5,992.43","71,967.45","6,203.89","5,566.10","5,693.59","5,647.36","5,426.07","6,206.15","6,232.08","6,807.55","6,099.49","6,452.76","6,623.01","6,458.12","6,334.39","5,860.48","5,906.33","6,057.48","5,877.11","6,358.89","6,286.11","7,019.59","6,927.04","6,811.54","6,890.41","6,616.09"
คันนายาว,"3,276.34",2934.21 ,"3,053.96","2,757.95",2515.22 ,2957.67 ,"2,759.80","3,104.83","3,106.54","3,245.72","3,320.33","2,739.75","3,054.12","3,674.74","4,086.38","3,907.05","3,468.04","3,735.28","3,645.61","4,133.13","3,911.34","3,997.38","4,147.94","4,000.44","4,162.49","3,830.98","3,983.54","3,958.04","3,540.85",3610.85 ,3754.09 ,3864.26 ,"4,090.01","4,119.99","4,060.22","4,004.30","4,170.59","3,719.78","3,350.06","3,449.46","3,326.33",3742.79 ,3721.20 ,3823.49 ,"3,820.41","3,992.72","4,074.19","3,749.91","3,678.94","3,431.45","3,568.87","3,578.16","3,835.14",4697.70 ,4266.61 ,4200.69 ,"4,268.41","4,301.58","3,869.89","3,854.96","4,245.39","3,763.52","3,914.08","4,336.27","4,148.11",4509.01 ,4400.40 ,4784.56 ,"4,808.87","4,354.19","4,392.83","4,272.10","4,588.77","4,127.01","4,021.92","4,061.89","3,690.39",4314.23 ,4061.45 ,4631.73 ,"4,440.39","4,754.63","4,516.12","4,354.92","4,562.05","4,257.13","4,452.33","4,644.34","4,153.56",4600.69 ,4237.22 ,5109.66 ,"4,733.23","4,637.76","4,886.96","4,657.03","4,345.60","4,444.60","4,553.09","4,179.76","4,536.71","4,410.53","4,675.46","4,541.08","4,702.68","5,026.68","4,638.99","54,827.53","4,423.77","4,073.53","4,086.05","3,543.55","3,514.36","3,688.11","4,082.55","4,175.51","4,128.17","4,053.81","4,105.92","48,674.38","4,047.00","3,722.41","3,774.27","3,691.73","3,589.18","4,079.53","4,033.57","4,078.13","3,912.93","3,882.65","3,867.12","4,035.29","4,053.71","3,791.71","3,814.34","3,784.28","3,602.22","3,951.72","3,845.15","4,397.82","4,264.95","4,244.98","4,213.31","4,076.82"
จตุจักร,"10,878.80",9657.71 ,"9,830.56","9,616.42",9354.03 ,10544.60 ,"9,552.23","10,832.00","10,700.10","10,874.20","11,028.70","10,449.60","7,668.98","10,314.30","11,934.60","11,370.70","10,415.70","10,828.70","10,383.20","11,563.50","11,395.00","11,503.10","11,480.60","11,411.10","11,283.30","10,855.00","11,109.10","11,069.00","10,309.90",10997.90 ,10822.00 ,11245.70 ,"11,598.50","11,806.10","11,994.20","11,599.60","11,853.30","10,802.90","10,396.10","10,472.20","9,782.33",11338.10 ,10640.50 ,11398.00 ,"11,290.30","11,592.70","11,913.60","11,061.70","11,642.40","10,801.40","11,236.60","10,896.30","10,939.70",11861.90 ,10970.00 ,11956.80 ,"12,011.50","12,091.40","12,131.30","11,404.60","12,498.90","10,699.00","10,703.10","11,429.60","10,939.60",11882.60 ,10953.90 ,12260.90 ,"12,869.30","12,862.70","12,894.70","12,650.70","12,890.00","11,989.00","11,882.20","11,635.50","10,793.50",12900.90 ,11627.60 ,13538.70 ,"13,299.90","13,693.90","14,122.20","13,248.40","13,190.90","12,824.30","12,606.30","12,679.50","11,775.10",13805.80 ,12403.80 ,14280.40 ,"13,604.80","13,543.30","13,763.90","13,194.20","12,325.50","12,454.90","12,455.80","11,651.00","12,598.50","11,833.80","12,573.80","12,490.20","12,833.70","13,149.90","12,456.10","150,381.20","11,908.43","11,443.30","11,053.81","9,171.98","9,207.18","8,633.05","9,565.65","9,911.70","10,151.45","9,971.41","9,942.01","123,616.75","10,028.07","9,287.42","9,427.85","8,728.75","8,668.71","10,079.79","9,336.31","9,409.23","8,938.92","8,762.53","8,601.05","8,680.54","9,035.98","8,687.61","8,766.36","8,525.51","8,763.82","9,178.20","8,675.37","9,883.83","10,174.56","9,820.60","10,254.71","10,104.07"
จอมทอง,"5,987.45",5413.54 ,"5,612.31","5,419.45",5263.40 ,6179.37 ,"5,512.20","6,141.13","6,228.83","6,233.70","6,307.16","5,851.84","5,179.30","6,247.56","5,733.64","5,946.18","5,405.40","5,647.96","5,536.82","6,209.33","5,962.78","5,948.68","6,157.99","6,099.21","6,398.27","5,816.52","5,950.49","6,057.76","5,679.38",6027.13 ,5690.33 ,6136.23 ,"6,758.35","6,566.61","6,610.45","6,486.56","6,294.96","5,675.52","5,589.39","5,687.29","5,340.46",5938.26 ,5797.05 ,6385.27 ,"6,593.50","6,884.47","7,049.10","6,459.52","6,556.25","5,814.57","6,023.60","5,739.65","5,930.45",6484.48 ,5929.00 ,6657.73 ,"6,849.54","6,534.70","6,466.99","6,344.83","6,404.11","5,801.95","5,817.93","5,859.39","6,048.96",6496.92 ,5972.32 ,5768.94 ,"5,900.63","6,061.15","5,949.04","5,727.50","5,288.75","5,807.97","5,413.28","5,437.61","5,060.80",5727.48 ,5473.81 ,6745.87 ,"5,513.69","6,696.92","6,658.69","6,023.48","6,265.85","6,034.12","6,134.88","6,368.86","5,988.34",6527.37 ,6200.64 ,7029.14 ,"6,733.89","6,498.68","6,830.38","6,077.26","6,081.21","6,115.37","6,307.24","5,879.67","6,097.98","6,037.73","6,493.11","6,214.78","6,178.00","6,639.64","6,670.66","75,219.86","6,015.61","6,004.05","5,665.85","4,868.05","5,356.52","5,432.75","6,026.27","5,723.30","5,528.47","5,422.56","5,560.73","68,264.00","5,691.55","5,137.03","5,200.25","5,144.69","5,062.34","5,614.91","5,641.73","6,306.57","5,905.16","5,877.60","5,840.53","5,753.93","5,833.19","5,390.97","5,335.02","5,292.03","5,119.29","5,456.69","5,244.85","6,005.87","6,111.76","5,838.41","5,709.79","5,462.08"
ดอนเมือง,"5,041.25",4434.55 ,"4,651.16","4,574.63",4421.48 ,5123.86 ,"4,777.12","5,258.23","4,949.84","4,899.83","4,824.39","4,385.67","1,828.35","3,875.48","24,301.50","5,736.96","4,766.02","5,036.83","4,886.62","5,438.89","5,174.85","5,172.38","5,126.98","5,119.92","5,257.11","4,895.70","4,905.42","5,044.69","4,696.77",5024.95 ,4856.87 ,5269.71 ,"5,389.64","5,334.17","5,303.68","5,195.18","5,304.69","4,919.11","4,810.74","4,920.17","4,637.56",5119.98 ,5099.81 ,5401.51 ,"5,348.51","5,537.68","5,552.03","5,272.98","5,560.58","5,327.29","5,490.38","5,496.15","5,256.90",5776.99 ,5471.91 ,5784.49 ,"5,798.75","5,805.42","6,042.98","5,568.34","5,887.13","5,166.31","5,341.01","5,811.64","5,486.84",5942.96 ,5704.66 ,6001.01 ,"5,788.18","5,955.37","5,949.79","5,986.08","6,131.23","5,811.68","5,787.31","5,857.35","5,254.71",6179.41 ,5735.23 ,6500.08 ,"6,316.19","6,559.10","6,534.23","6,200.17","6,486.68","6,140.07","6,080.85","6,438.03","5,875.88",6741.40 ,6297.95 ,7098.63 ,"6,542.69","6,827.16","6,847.77","6,458.73","6,199.86","6,332.64","6,451.70","5,942.29","6,429.72","6,279.37","6,488.33","6,264.89","6,426.89","6,556.28","6,186.89","76,400.97","5,850.14","5,620.01","5,482.24","4,307.46","4,595.64","4,847.54","5,137.20","5,077.44","5,151.10","5,056.15","5,016.45","62,514.33","5,066.61","4,628.54","4,618.95","4,907.19","4,415.15","5,038.87","5,068.59","5,322.51","4,842.91","4,929.98","5,082.65","4,935.90","4,890.58","4,647.40","4,667.71","4,635.83","4,535.64","4,956.38","4,910.18","5,521.37","5,311.29","5,161.30","5,200.89","5,328.53"
ดินแดง,"7,187.52",6589.76 ,"6,775.47","6,664.12",6317.99 ,7300.53 ,"6,681.13","7,514.64","7,295.70","7,357.70","7,398.88","7,060.72","7,132.23","7,435.11","7,847.26","7,873.49","7,363.08","7,927.63","7,491.33","8,284.03","7,657.95","7,771.92","7,813.30","8,000.91","8,211.74","7,935.50","8,104.80","8,159.80","7,599.79",8363.84 ,7927.53 ,8299.58 ,"8,556.77","8,787.88","8,703.98","8,529.43","8,551.20","7,753.49","8,091.90","8,255.68","7,694.85",8550.66 ,8175.62 ,8751.33 ,"8,594.89","8,573.54","8,481.18","8,382.81","8,939.19","7,986.27","8,127.96","8,067.78","7,511.69",8399.43 ,7768.52 ,8477.35 ,"8,174.40","8,084.55","8,340.53","8,003.32","8,107.48","8,027.97","8,062.45","8,240.22","7,773.39",8530.51 ,7876.13 ,8498.53 ,"8,707.48","8,577.32","8,751.72","8,533.82","8,667.99","8,322.57","8,243.56","8,236.13","7,664.64",8776.60 ,8199.59 ,9410.31 ,"8,876.63","9,163.96","9,140.19","8,652.30","9,296.14","8,554.03","8,421.37","8,698.82","8,025.83",9174.80 ,8569.70 ,9490.48 ,"9,011.95","8,962.59","9,327.31","8,830.82","8,456.10","8,812.51","8,817.08","8,327.21","8,778.67","8,432.13","8,850.32","8,653.85","8,627.62","9,013.99","8,819.24","104,521.61","8,397.65","8,389.37","8,077.29","7,291.86","7,654.65","8,505.73","7,837.15","6,667.50","6,752.68","6,670.87","6,799.24","92,038.53","6,700.32","6,197.95","6,446.90","6,181.87","6,212.48","6,939.77","6,458.99","6,561.30","6,219.72","6,428.43","6,377.70","6,229.89","6,452.90","6,084.47","6,028.09","6,019.57","5,823.44","6,480.47","6,109.62","7,039.33","6,974.72","7,160.78","7,058.82","7,233.08"
ดุสิต,"5,377.86",5046.55 ,"5,198.44","4,929.39",4862.97 ,5487.87 ,"5,202.23","5,630.16","5,676.48","5,680.79","5,747.35","5,433.88","5,532.81","5,103.81","5,587.76","5,442.21","5,272.34","5,326.01","5,231.64","5,751.77","5,572.55","5,622.28","5,693.89","5,707.22","5,691.83","5,446.58","5,521.80","5,527.92","5,079.76",5435.45 ,5085.21 ,5168.61 ,"5,455.49","5,617.43","5,638.63","5,436.85","5,564.93","5,246.22","4,998.92","5,035.14","4,702.11",5088.88 ,4856.87 ,5319.94 ,"5,497.55","5,631.56","5,791.81","5,181.69","5,373.75","5,115.48","5,155.26","5,080.19","4,969.23",5394.38 ,5132.63 ,5404.70 ,"5,401.13","5,516.35","5,571.36","5,345.56","5,549.75","5,087.89","5,127.54","5,279.50","5,035.40",5530.69 ,5042.34 ,5178.10 ,"5,347.31","5,452.04","5,722.20","5,397.32","5,507.77","5,326.83","5,265.11","5,198.61","4,690.99",5532.39 ,4973.43 ,5787.05 ,"5,482.74","5,480.81","5,331.74","5,173.03","5,203.13","5,172.06","5,305.81","5,200.54","4,972.77",5439.65 ,4859.39 ,5649.70 ,"5,311.60","5,080.30","5,351.61","4,875.39","5,087.24","5,134.48","5,293.90","4,644.02","4,882.62","4,715.41","5,111.29","5,187.15","5,270.07","5,503.60","5,088.96","61,142.44","4,833.82","4,749.55","4,540.68","3,841.01","3,806.31","3,543.80","3,855.31","3,875.79","4,024.86","4,012.75","3,967.45","50,274.77","4,065.81","3,757.68","3,755.90","3,468.75","3,467.16","4,017.81","3,584.34","3,735.00","3,507.49","3,371.46","3,481.75","3,479.17","3,493.53","3,397.15","3,320.14","3,347.76","3,279.75","3,588.12","3,385.34","3,805.34","3,850.69","3,806.58","3,785.62","3,630.85"
ตลิ่งชัน,"3,440.30",3093.74 ,"3,264.73","3,162.57",3030.75 ,3619.37 ,"3,381.41","3,765.73","3,737.12","3,759.72","3,741.41","3,398.56","2,687.64","3,589.19","4,211.79","3,852.30","3,505.57","3,582.03","3,481.09","3,732.94","3,719.78","3,657.62","3,801.99","3,717.83","3,783.66","3,600.76","3,658.51","3,735.06","3,417.56",3622.87 ,3568.86 ,3764.36 ,"3,986.58","3,972.97","3,855.09","3,775.41","3,896.65","3,686.28","3,638.69","3,563.62","3,425.85",3811.37 ,3633.91 ,3870.54 ,"4,045.24","4,250.30","4,317.04","4,058.30","4,202.97","3,881.68","4,037.96","3,945.52","3,738.94",4251.66 ,3962.39 ,4104.59 ,"4,145.45","4,106.38","4,182.39","4,105.85","4,292.35","3,893.18","3,893.59","3,906.57","3,759.91",4093.91 ,3711.79 ,3997.60 ,"4,090.33","4,282.80","4,283.62","4,154.79","4,274.98","3,947.74","4,182.97","4,205.10","3,644.86",4184.88 ,3979.05 ,4654.61 ,"4,435.61","4,635.87","4,608.04","4,470.73","4,693.45","4,368.31","4,386.27","4,516.77","4,304.25",4726.93 ,4524.61 ,5099.72 ,"4,557.22","4,513.84","4,641.88","4,212.41","4,246.11","4,420.37","4,441.89","4,149.72","4,349.34","4,295.94","4,492.74","4,366.84","4,571.40","4,702.99","4,628.15","53,223.20","4,362.74","4,425.68","4,189.72","3,673.67","3,990.20","3,947.81","4,346.29","4,293.02","4,318.49","4,346.93","4,347.48","51,027.20","4,173.85","3,907.48","3,918.43","3,866.38","3,727.09","4,217.24","4,145.83","4,341.98","4,092.58","4,124.81","4,218.52","4,285.50","4,310.13","4,182.72","4,060.91","4,062.12","3,940.26","4,244.11","4,056.73","4,499.04","4,456.40","4,460.89","4,555.56","4,468.12"
